,상호,계,업종,주소,거리
139,주식회사 닥터브레인,23,기타식음료품,"경기 성남시 분당구 구미로173번길 47, 162호 (구미동,서울시니어스분당타워)",
140,양우양꼬치,23,일반음식점 기타,"경기 성남시 분당구 대왕판교로 660, 유스페이스1 비동 144호",
141,본도시락 서현점,23,한식,"경기 성남시 분당구 황새울로312번길 20, 1층 111,112호 (서현동)",
142,미스사이공판교점,23,일반음식점,"경기 성남시 분당구 판교역로 231, 에스동 지하1층 B103호 일부 (삼평동,에이치스퀘어)",
143,롤링핀,23,휴게음식점,"경기 성남시 분당구 판교역로192번길 12, (삼평동)",
144,(주)도원참치,23,일식전문점,"경기 성남시 분당구 판교역로192번길 16 (삼평동,판교타워2층 204호,205호,206호,207호)",
145,한솥(판교테크노밸리점),22,일반음식점,"경기 성남시 분당구 판교역로 231,(삼평동,에이치스퀘어에스동1층102호)",
146,오투닭갈비부대찌개판교테크노벨리,22,일반음식점,"경기 성남시 분당구 대왕판교로 670, 2층 223호 (삼평동,유스페이스2)",
147,스쿨푸드정자딜리버리점,22,일반음식점,경기 성남시 분당구 불정로77번길 4-5 (정자동),
148,본도시락성남시청점,22,일반음식점,"경기 성남시 중원구 양현로405번길 7, 1층 106호 (여수동,신야탑푸르지오시티2)",
149,바디쉐프판교테크노벨리점,22,일반음식점,"경기 성남시 분당구 판교역로 231, S동 1층 107호 (삼평동)",
150,몬트락,22,일반음식점,"경기 성남시 분당구 대왕판교로 660,유스페이스1 1층163호,164호(삼평동)",
151,단,22,일식전문점,"경기 성남시 분당구 대왕판교로 660, 160호 (삼평동,유스페이스1)",
152,고을래이베리코흑돼지전문점,22,일반음식점,"경기 성남시 분당구 판교역로 231, B114호 (삼평동,에이치스퀘어에스동)",
153,화포식당판교,21,일반음식점,"경기 성남시 분당구 대왕판교로660, 2층 240호 (삼평동,유스페이스1) ",
154,판교점새마을식당,21,일반음식점,"경기 성남시 분당구 대왕판교로 670, 유스페이스10블럭2층215호,216호 (삼평동)",
155,슈퍼타이판교테크노벨리점,21,일반음식점,"경기 성남시 분당구 판교로319번길 13, 1층 115호 (삼평동,디테라스)",
156,삿뽀로판교점(주)덕용푸드시,21,일식전문점,"경기 성남시 분당구 대왕판교로606번길 58, 2층 2-33~38호 (삼평동,판교푸르지오월드마크)",
157,능라도,21,일반음식점,"경기 성남시 분당구 산운로32번길 8,(1층,2층전체)(운중동)",
158,펀비어킹판교테크노밸리점,20,일반주점,"경기 성남시 분당구 대왕판교로 660, 1층 148호 (삼평동,유스페이스1)",
159,이야기둘,20,일반음식점,"경기 성남시 분당구 판교로319번길 13, 113호 (삼평동,디테라스1층)",
160,마키노차야판교점,20,뷔페.출장연회,"경기 성남시 분당구 판교역로 145, 타워2동 지하1층 B109~B115호, B131~137호 (백현동,알파리?",
161,마라웨이,20,중식전문점,"경기 성남시 분당구 대왕판교로 660, 2층 203호 (삼평동,유스페이스1)",
162,다원개발,20,기타식음료품,"경기 성남시 분당구 내정로174번길 42, 상가동 지하층 1 164,165,185,186,191,192,205,206,218,219,",
163,육미한우암소직판장,19,일반한식,"경기 성남시 수정구 달래내로 18, 판교블랑쉬에 1호 지층 및전체 (금토동, 투원빌리지)",
164,영심이판교2호점,19,휴게음식점,"경기 성남시 분당구 대왕판교로606번길 45 1층 110호 (삼평동,판교역푸르지오시티)",
165,스튜디오지구(STUDIOZ,19,일반음식점,"경기 성남시 분당구 대왕판교로660, 지하 116호 (삼평동,유스페이스1) ",
166,홍루이젠 미금역점,18,휴게음식점,"경기 성남시 분당구 돌마로 67, 1층 108호 (금곡동,금산젬월드)",
167,칸쿤,18,일반주점,"경기 성남시 분당구 판교역로 230, B동 지하1층 B-119호 삼환하이펙스 (삼평동)",
168,우테이블 (주)굽다,18,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 1층 105호 (삼평동,판교호반써밋플레이스)",
169,와바 판교테크노밸리점,18,일반주점,경기 성남시 분당구 삼평동 680번지 H스퀘어 201호,
170,명인만두(판교유스페이스점),18,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층 116호 (삼평동,유스페이스1)",
