,상호,계,업종,주소,거리
693,(주)팡메이,2,일반음식점 기타,경기 성남시 분당구  불정로420번길 57 1층 (분당동),
694,(주)카인드관광,2,호텔(특급외),"경기 성남시 분당구 황새울로329번길 10, 지하1층 2호 (서현동)",
695,(주)지오쿠치나,2,서양식전문점,"경기 성남시 분당구 황새울로200번길 34, 1층 101호, 102호 (수내동,코포모빌딩)",
696,(주)장모집,2,일반음식점,"경기 성남시 분당구 하오개로351번길 6, 1층, 2층 전부 (운중동)",
697,(주)유썸퀴즈노스분당정자점,2,일반음식점 기타,"경기 성남시 분당구 느티로 22, 103호,104호 (정자동,젤존타워)",
698,(주)에스앤에스펌서가앤쿡판교아브,2,양식,"경기 성남시 분당구 동판교로177번길 25-0,2층 236 237호 (삼평동,판교 ",
699,(주)먹보한우광주점(분당지,2,일반음식점,"경기 성남시 분당구 미금일로74번길 15, 1층 일부구미동주차장 (구미동)",
700,(주)맛있는상상카페랄로점,2,서양식전문점,경기 성남시 분당구 하오개로 246 (운중동),
701,(주)너와집 백현점,2,일반음식점,"경기 성남시 분당구 안양판교로1201번길 45, 지상1층 (백현동)",
702,(선)속초코다리냉면,2,한식,"경기 성남시 분당구 동판교로177번길 25, 106호 (삼평동,판교호반써밋플레이스)",
703,히카루후,1,일식전문점,"경기 성남시 분당구 동판교로177번길25, 217호 (삼평동,판교호반써밋플 ",
704,흑돼지 삼백식당 야탑점,1,일반주점,"경기 성남시 분당구 장미로86번길 8, 1층 (야탑동,동호빌딩)",
705,훠궈타임,1,일반음식점 기타,"경기 성남시 분당구 장미로100번길 14, 1층 (야탑동)",
706,후쿠오카모츠나베,1,일식/생선회집,"경기 성남시 분당구 서현로180번길 19, 1층 (서현동,비전월드)",
707,효 (효),1,일식전문점,"경기 성남시 분당구 느티로 2 (정자동,,102호 전체)",
708,회사랑방,1,일식전문점,"경기 성남시 분당구 돌마로486번길 12 (서현동,효자촌근린상가 지1층)",
709,황제,1,일반음식점,"경기 성남시 수정구 탄천로307번길 6, 1층 (사송동)",
710,화로사랑분당수내점,1,일반음식점,"경기 성남시 분당구 백현로101번길17, 113,114,115 (수내동,초림프라자 ",
711,화동생갈비,1,일반음식점,"경기 성남시 분당구 새마을로177번길 5, 1층.2층 (율동)",
712,홍루이젠야탑점,1,휴게음식점,"경기 성남시 분당구 야탑로69번길 21-0,1층 106호 (야탑동,영진다이비 ",
713,혼다라멘미금점,1,일식전문점,"경기 성남시 분당구 성남대로 151, 116호 (구미동,분당엠코헤리츠)",
714,호천당,1,일반음식점 기타,"경기 성남시 분당구 성남대로331번길 13, 1층 105호 (정자동)",
715,호시,1,일식전문점,"경기 성남시 분당구 분당로53번길14, 112 (1층 (서현동,서현프라자) ",
716,혜선이떡볶이,1,일반음식점,"경기 성남시 분당구 판교역로192번길 14-2 (삼평동,골드타워)",
717,허니피그,1,한식,"경기 성남시 분당구 동판교로52번길 3-8, .",
718,향촌,1,일반한식,경기 성남시 분당구 만세길 20  (율동),
719,해물한상,1,일반음식점,"경기 성남시 수정구 위례광장로 310, A동 2층 205호 206호 (창곡동,우성트램타워)",
720,항아리보쌈위례점,1,일반음식점,"경기 성남시 수정구 위례서일로3길 33-4, 1층 (창곡동)",
721,함경북도신포비빔국수돈까스,1,일반음식점,"경기 성남시 분당구 하오개로 343, 2층 (운중동)",
722,한종호의 김치찜,1,한식,"경기 성남시 분당구 황새울로 325, 1층 101호,102호 (서현동,서현하우비)",
723,한와담(주)엠제이푸드아이,1,일반음식점,"경기 성남시 분당구 판교역로152, 1(일부)층 (백현동) ",
724,한옥촌,1,일반음식점,경기 성남시 분당구 안골로11번길 5 (서현동),
725,한솥도시락수내역점,1,일반음식점,"경기 성남시 분당구 내정로173번길 49, 1층 108,121호 (수내동,궁전프자라)",
726,한솔유통,1,기타식음료품,경기 성남시 분당구 내정로 94 (정자동),
727,한솔도시락중탑점,1,한식,경기 성남시 분당구 야탑동 274-1 대원상가 1층 5,
728,한소반(율동공원점),1,일반음식점,경기 성남시 분당구 새마을로175번길6 (율동) ,
729,한국피자헛 송파위례점,1,패스트푸드점,"경기 성남시 수정구 위례광장로 322, 122호 (창곡동,아이플렉스)",
730,하인선생,1,중식전문점,"경기 성남시 분당구 구미로 191,401호 전부(구미동,아산웰빙프라자)",
731,하누세나(주)리치메이커스,1,일반음식점,"경기 성남시 분당구 정자일로140, 1층 B119,120,121호 (정자동,정자역 ",
732,하남돼지집 미금점,1,일반음식점,"경기 성남시 분당구 미금일로74번길 25-1, 1층 (구미동)",
733,하나시,1,일식전문점,"경기 성남시 분당구 동판교로52번길 21-2, 101호 (백현동)",
734,하나비,1,일식전문점,"경기 성남시 분당구 야탑로 103, 노블리치2오피스텔1층105호일부호 (야탑동)",
735,필립(Philip),1,일반음식점 기타,"경기 성남시 분당구 황새울로311번길 8-5, 1층 101호 (서현동,이앤텍빌딩)",
736,피치랑분당이매점,1,일반음식점,"경기 성남시 분당구 이매로 11, 상가동 1층 101호 (이매동,아름마을선경아파트)",
737,피자스쿨,1,패스트푸드점,"경기 성남시 분당구 성남대로 389, 105호 (정자동,폴라리스빌딩2)",
738,피자마루동판교점,1,패스트푸드점,"경기 성남시 분당구 판교로 375, 1층 101호 (삼평동,에메트타운)",
739,풍천가,1,패스트푸드점,경기 성남시 수정구 상적동 173-1번지,
740,풍류별당,1,일반음식점,"경기 성남시 분당구 대왕판교로606번길39, 지하1층 (삼평동,럭스타워) ",
741,풀무원푸드앤컬처 자맛라스트리트판교,1,일반음식점,"경기 성남시 분당구 대왕판교로606번길 10 (백현동,알파리움타워1동2층203호~208호)",
742,푸에르코판교점,1,일반음식점,"경기 성남시 분당구 분당내곡로 117, 2층 일부 (백현동,크래프톤타워)",
743,포차어게인야탑점,1,한식,"경기 성남시 분당구 야탑로105번길 11, (야탑동)",
744,포사오,1,한식,경기 성남시 분당구 판교로255번길 9-22 우림W-CITY 2층 216호 (삼평동),
745,페삭,1,일반음식점,"경기 성남시 분당구 황새울로214번길 8, 306호 (수내동,MS프라자)",
746,퍼플레인(PurpleRain,1,서양식전문점,"경기 성남시 분당구 대왕판교로606번길45, 204호 (삼평동,판교역푸르지 ",
747,판교초밥,1,일식전문점,"경기 성남시 분당구 운중로125번길 4-7, 101호 (운중동)",
748,판교양평해장국막국수,1,한식,"경기 성남시 수정구 여수대로 4, 1층 (시흥동)",
749,통통낙지 분당점,1,일반음식점,"경기 성남시 분당구 구미로 124, 1층 103호 (구미동,굿모닝프라자1)",
750,태호식당,1,일식전문점,"경기 성남시 분당구 대왕판교로660, 지하1층 B109호 (삼평동,유스페이 ",
751,키친에이,1,양식,"경기 성남시 분당구 느티로51번길 2, (정자동)",
752,큰집,1,한식,"경기 성남시 분당구 안양판교로1201번길 87, 1층 (백현동)",
753,큐당구장,1,당구장,"경기 성남시 분당구 서현로210번길 2, 5층 501호 (서현동,성지하이츠텔)",
754,퀸,1,서양식전문점,"경기 성남시 분당구 판교로319번길 13, 디테라스 1층 101호,102호일부 (삼평동)",
755,쿠우쿠우(유)쿠우쿠우서현점,1,일식전문점,"경기 성남시 분당구 분당로53번길 16, 4층 일부 (서현동,정일빌딩)",
756,코코이찌방야판교알파돔시티점,1,서양식전문점,"경기 성남시 분당구 판교역로 145, 타워2동, 2층 207호 208호. (백현동,알파리움)",
757,케르반판교점,1,서양식전문점,"경기 성남시 분당구 판교역로 145, 타워2동 2층 212호,213호,214호,215호,216호 (백현동,알파?",
758,칼국수한마당마루,1,일반음식점,"경기 성남시 분당구 성남대로393, 1층 B116호 (정자동) ",
759,칸지고고,1,일반음식점,"경기 성남시 분당구 백현로101번길 17, 1층 101,102 (수내동,초림프라자)",
760,카페파라(테크노점),1,일반음식점,"경기 성남시 분당구 판교역로240, 108호 일부 (삼평동,삼환하이펙스A동 ",
761,카페토스피아,1,일반음식점,"경기 성남시 분당구 정자일로156번길6, 1층 일부 (정자동,뉴본타워) ",
762,카페엠,1,일반주점,경기 성남시 수정구 청계산로 447 (상적동),
763,카페스테이(CAFE STAY),1,휴게음식점,"경기 성남시 수정구 달래내로377번길 42, 1층 (상적동)",
764,카페마마스판교점(주)마마스푸드,1,일반음식점,"경기 성남시 분당구 분당내곡로117, 주건축물 제1동 1일부층 (백현동, ",
765,카페게이트 판교하이펙스점,1,일반음식점,"경기 성남시 분당구 판교역로 240, 119호 (삼평동,삼환하이펙스A동)",
766,카페 그레코,1,기타음식점,"경기 성남시 분당구 서현동 311 주상복합상가 604동 117,159,160호",
767,카툰트리,1,일반음식점,"경기 성남시 분당구 성남대로926번길 10 (야탑동,탑빌딩 지하1층 일부)",
768,카마쿠라,1,일식/생선회집,"경기 성남시 분당구 대왕판교로606번길 39, 1층 112호 (삼평동,럭스타워)",
769,친절생고기전문점,1,일반음식점,"경기 성남시 중원구 광명로25-1, 1층 (성남동) ",
770,치어스야탑점,1,일반주점,"경기 성남시 분당구 야탑로105번길 19, 1층 (야탑동,백은빌딩)",
771,춘천본점닭갈비,1,일반음식점,"경기 성남시 분당구 서현로210번길 14, 1층 106호,116~120호 (서현동,유성트윈프라자2차)",
772,최고야 전국5대짬뽕,1,중식전문점,"경기 성남시 분당구 판교로227번길 6, 1층 116,117호 (삼평동,판교브릿지타워)",
773,총각네횟집,1,일식전문점,"경기 성남시 중원구 성남대로1148번길 13, 1층 (성남동)",
774,초당마을,1,일반음식점,경기 성남시 수정구 탄리로74번길 9 (태평동),
775,청춘,1,일반음식점,"경기 성남시 수정구 위례순환로 130, 1층 106호, 107호 (창곡동,아트리버푸르지오)",
776,청오디피케이(주)야탑점,1,패스트푸드점,경기 성남시 분당구 매화로 46 (야탑동),
777,청솔오리곱창철판구이,1,일반음식점,경기 성남시 수정구 단대로16번길24-17 (단대동) ,
778,청석골,1,일반음식점,"경기 성남시 분당구 불정로376번길31, 604동 166호 (서현동,주상복합상 ",
779,청담식당,1,한식,"경기 성남시 수정구 대왕판교로 842, 1층 201호 (시흥동,MHY)",
780,청담설렁탕,1,일반음식점,"경기 성남시 중원구 광명로44-1, 1층 (성남동) ",
781,천향,1,중식전문점,"경기 성남시 분당구 정자일로230, 정자동 3단지지상가지하 102호 104호 ",
782,천수정,1,일반음식점,"경기 성남시 수정구 고산동길 7,(고등동)",
783,착한고기오리점,1,일반음식점,"경기 성남시 분당구 구미로9번길 13-7, 2층 (구미동,JW빌딩)",
784,차고145,1,일반음식점,"경기 성남시 분당구 판교역로145, 타워2동 1층 108호 109호 110호 (백 ",
785,찌마기야탑점,1,일반음식점,경기 성남시 분당구 야탑로111번길24 (야탑동) ,
786,짱수양꼬치앤짬뽕,1,중식전문점,"경기 성남시 분당구 성남대로331번길 13 (정자동,외1필지 102,103호)",
787,짬뽕타워,1,중식전문점,"경기 성남시 분당구 황새울로258번길 40, 1층 일부 (수내동,왕자클라우드빌딩)",
788,짝,1,일반주점,"경기 성남시 분당구 대왕판교로 670, 2동 315호 (삼평동,유스페이스)",
789,진짜돼지,1,한식,"경기 성남시 분당구 분당내곡로 159, 삼평동,KCC웰츠타워A동120,121,122호",
790,진어참치,1,일식전문점,"경기 성남시 수정구 위례서일로1길 8-16, 지하1층,  주건물,제1동, (창곡동)",
791,진복호 분당점,1,일식/생선회집,"경기 성남시 분당구 동판교로 52, 2층 203호 (백현동,제이스타빌딩)",
792,진대감(분당점),1,일반음식점,"경기 성남시 분당구 성남대로331번길 3-10, 1층 (정자동)",
793,진1926판교점,1,한식,"경기 성남시 분당구 판교역로192번길 22, 1층 101호 (삼평동,판교효성해링턴타워)",
794,지현네달인각,1,일반음식점,"경기 성남시 수정구 위례서일로3길8, 1층 (창곡동) ",
795,지유가오카브레드분당정자역점,1,일반음식점,"경기 성남시 분당구 성남대로349, 1층 일부 (정자동,시그마타워) ",
796,중림동닭한마리칼국수,1,일반음식점,"경기 성남시 수정구 위례광장로 320, 202호 (창곡동,아이에스센트럴타워)",
797,주식회사치어스분당지점,1,일반음식점 기타,"경기 성남시 분당구 판교로 435, (야탑동,동양프라자1층101-105호,110-112호)",
798,주식회사인디테이블,1,일반음식점기타,"경기 성남시 분당구 동판교로177번길 25-0,1층 109호 (삼평동,판교호반 ",
799,주식회사맛있는상상카페랄로점,1,양식,"경기 성남시 분당구 하오개로 246-0,운중동 ",
800,주식회사 청정갯마을,1,한식,"경기 성남시 분당구 성남대로858번길 4, (야탑동,1층)",
801,주)신화아이푸드,1,일식/생선회집,경기 성남시 분당구 서현동 102-2,
802,종가족발순대국,1,일반음식점,"경기 성남시 분당구 운중로138번길28-6,1층 전부(운중동) ",
803,조마루감자탕위례점,1,일반음식점,"경기 성남시 수정구 위례광장로41, 2층 (창곡동,지엠프라자) ",
804,제주오름,1,일반음식점,"경기 성남시 분당구 발이봉남로4번길 6, 1층 102호 (수내동)",
805,제주가,1,한식,"경기 성남시 분당구 동판교로52번길 5, 1층 (백현동)",
806,제일촌,1,일반음식점,"경기 성남시 분당구 내정로119번길 4-4, 상가동 1층 (정자동)",
807,제일김밥.롤,1,일반음식점,"경기 성남시 분당구 수내2동53 돌고래상가 지하 91,92,93호 ",
808,제이스팟(주)다몽에프앤비,1,중식전문점,"경기 성남시 분당구 판교역로 152, 알파돔타워 3(일부)층 (백현동)",
809,제스의 부엌,1,일식/생선회집,"경기 성남시 분당구 불정로386번길 10, 601동 1층 1066호 (서현동,효자촌미래타운아파트)",
810,제로투나인,1,서양식전문점,"경기 성남시 분당구 운중로146번길 19-3, 1층 (운중동)",
811,정자골,1,일반음식점,"경기 성남시 분당구 정자일로 220,(동양정자파라곤2단지상가 지하101호)(정자동)",
812,정연,1,일반음식점 기타,"경기 성남시 분당구 성남대로144번길 12-1, 1층 (구미동)",
813,정세이카츠돈카츠,1,서양식전문점,"경기 성남시 분당구 판교역로192번길 22, 1층 105호 (삼평동,판교효성해링턴타워)",
814,정글비위례신도시점,1,일반음식점,"경기 성남시 수정구 위례광장로 322, 2층 202호 (창곡동,아이플렉스)",
815,정가네능이백숙,1,일반음식점,"경기 성남시 분당구 서현로247번길 9, 1층 (서현동)",
816,전설의골뱅이,1,일반음식점,"경기 성남시 분당구 판교역로192번길 16, 1층 108호 (삼평동,판교타워)",
817,장흥한우삼합,1,일반음식점,"경기 성남시 분당구 야탑로111번길18 (야탑동,(1층)) ",
818,장수골화로구이,1,일반음식점,"경기 성남시 수정구 산성대로 473, 1,2,3층 (단대동)",
819,장비빔국수와굴국밥보쌈,1,일반음식점,"경기 성남시 분당구 운중로257번길 7-4, 1층 전부 (판교동,판교JJ빌딩)",
820,작은어촌,1,일반음식점,"경기 성남시 분당구 장미로 86, 1층 105호 (야탑동,이코노샤르망)",
821,자연산회통영붕장어,1,일반음식점,"경기 성남시 분당구 운중로267번길 8-13, 1층 (판교동)",
822,자연별곡분당서현점(주)이랜드이츠,1,뷔페.출장연회,"경기 성남시 분당구 황새울로340 (서현동,알파마이티 분당빌딩 4층 전 ",
823,자갈치시장,1,일반음식점,"경기 성남시 분당구 성남대로925번길 19, 103,104호 (야탑동,터미널프라자)",
824,일인자감자탕,1,한식,경기 성남시 분당구 야탑동372-2 ,
825,일류인터내셔널,1,기타식품,"경기 성남시 분당구 서현로 170, 17층 씨-1714호 (서현동, 풍림아이원플러스)",
826,일구사,1,서양식,"경기 성남시 분당구 대왕판교로 670, 112호 (삼평동, 유스페이스2)",
827,인생술집,1,일반음식점 기타,"경기 성남시 분당구 대왕판교로606번길 47, SG타워 1층 102-2호 (삼평동)",
828,이화수 정자점,1,일반음식점,"경기 성남시 분당구 정자일로 100,1층115호(정자동,미켈란쉐르빌)",
829,이한진의푸른참치,1,일식,"경기 성남시 분당구 성남대로331번길 3, 308호 (정자동, 백궁프라자3)",
830,이삭토스트,1,일반음식점,"경기 성남시 분당구 판교로 375, 102호 (삼평동,에메트타운)",
831,이백소면디테라스점엠비즈(주),1,일반음식점,"경기 성남시 분당구 판교로319번길 13, 114호 (삼평동)",
832,이경진우렁쌈밥정식,1,한식,"경기 성남시 분당구 정자동 159-5 206,207호",
833,이가주방,1,한식,"경기 성남시 분당구 효자길 9, (서현동)",
834,이가네양,1,중식전문점,"경기 성남시 분당구 판교역로 145, 1층114,115호 (백현동,알파리움2단지)",
835,은영이네 전라도밥상,1,일반음식점,"경기 성남시 중원구 둔촌대로64번길 4-13, 1층 (성남동)",
836,육덕등심정자점,1,일반한식,"경기 성남시 분당구 정자일로135, D동 206호 (정자동, 정자푸르지오시 ",
837,육공,1,일반음식점,"경기 성남시 분당구 정자일로 158, 1층 111호 (정자동,백궁프라자2)",
838,유황오리장군부대찌게,1,일반음식점,"경기 성남시 분당구 판교로255번길9-22,우림W-CITY지하1층B113호(삼평 ",
839,유림각,1,일반음식점,경기 성남시수정구 태평2동348-2번지 ,
840,월수금 위례점,1,일반음식점,"경기 성남시 수정구 위례서일로1길 13, 1층 (창곡동)",
841,월드폴로,1,일반의류,경기 성남시 중원구 성남동 1311 지하상가 E-가-17,
842,월드오브비어 강남역점,1,일반음식점 기타,"경기 성남시 분당구 판교역로192번길 16, 807-1호 (삼평동)",
843,원쭈꾸미,1,일반음식점,경기 성남시 분당구 야탑로105번길 8 (야탑동),
844,원조원주추어탕,1,일반음식점,경기 성남시 분당구 새마을로7번길 4 (서현동),
845,웃자,1,일반음식점,"경기 성남시 분당구 불곡로 4, 106호 (정자동,리더스프라자)",
846,우마블,1,양식,"경기 성남시 분당구  정자일로 190 정자일로 197 (정자동,푸르지오2차110,111,129호)",
847,우리포석정,1,한식,"경기 성남시 분당구 분당내곡로 151, 201호 (삼평동)",
848,우라마찌,1,일반주점,"경기 성남시 분당구 정자일로 158, 1층 110호 (정자동,백궁프라자2)",
849,용호동낙지판교역점(주)피플랜드,1,일반음식점,"경기 성남시 분당구 판교역로 145, 1층 106호,107호 (백현동,알파리움2단지)",
850,용천통닭,1,치킨전문점,"경기 성남시 분당구 돌마로 52, 102호 (구미동,MD프라자)",
851,용인전통순대국,1,일반음식점,"경기 성남시 분당구 판교로255번길9-22,(삼평동,우림W-CITY지하1층B111 ",
852,용범이네인계동껍데기야탑점(주),1,일반음식점,"경기 성남시 분당구 성남대로926번길6, 2층 210호 (야탑동,야탑대덕프 ",
853,요크앤화이츠,1,서양식전문점,"경기 성남시 분당구 판교역로10번길 12-5, 1층 (백현동)",
854,요기,1,일반음식점기타,"경기 성남시 중원구 성남대로997번길 25-14,1층 (여수동) ",
855,왕창족발,1,일반음식점,"경기 성남시 분당구 수내로46번길 11 (수내동,대덕빌딩1층115)",
856,왕스덕,1,일반음식점기타,"경기 성남시 분당구 대왕판교로645번길 36-0,지하1층 (삼평동) ",
857,왑스,1,한식,"경기 성남시 분당구 성남대로 51, 1층 (구미동)",
858,와인팩토리,1,양식,"경기 성남시 분당구 판교역로192번길 14-2,117호 (삼평동,골드타워) ",
859,와라와라호프,1,일반주점,"경기 성남시 수정구 산성대로485, 2층 (양지동) ",
860,옹기김치집,1,한식,"경기 성남시 분당구 서현동 247-3번지 삼보프라자108,109호",
861,온쌀국수,1,일반음식점,"경기 성남시 분당구 동판교로 91, 상가동 B111호 (백현동,백현마을4단지)",
862,오창은군산집,1,일반음식점,"경기 성남시 분당구 구미로192번길 4, 3층전부 (구미동)",
863,오징어세꼬시명가,1,한식,"경기 성남시 분당구 정자일로156번길 11, 1층 (정자동,세명타워)",
864,오레시피 분당이매점,1,기타식음료품,"경기 성남시 분당구 이매로 54, 분산상가동 1층 102호 (이매동,이매촌)",
865,오,1,일반주점,"경기 성남시 분당구 장미로86번길 10-0,3층 2호 (야탑동) ",
866,옛시골왕솥뚜껑삼겹살,1,일반음식점,"경기 성남시 분당구 미금일로86번길 19, 1층 (구미동)",
867,예향정판교점,1,일반음식점,"경기 성남시 분당구 서판교로44번길3-13, 1층 (판교동) ",
868,예전집,1,일반주점,"경기 성남시 분당구 성남대로331번길13, 외1필지 122호 (정자동) ",
869,예나파이,1,일반음식점,"경기 성남시 수정구 공원로 322, 1층 133호 (신흥동,신동아파라디움)",
870,영심이앤김밥,1,일반음식점 기타,"경기 성남시 분당구 느티로 22, A-108(정자동,백궁파라곤)",
871,영심이미금점,1,일반음식점,"경기 성남시 분당구 성남대로165 (금곡동,천사의도시1차 109호) ",
872,영덕 강구항,1,일식전문점,"경기 성남시 분당구 미금일로90번길 32, 101,102,111호 (구미동)",
873,연어로만,1,일반음식점,"경기 성남시 분당구 판교역로 178 (삼평동,서건타워 1층 104호)",
874,연안식당 야탑점,1,일반음식점,"경기 성남시 분당구 야탑로75번길 9, 1층 102호 (야탑동,금호프라자)",
875,연남수제비,1,일반음식점,"경기 성남시 분당구 성남대로144번길 14, 1층 일부 (구미동)",
876,엘알디케이,1,일반음식점,"경기 성남시 분당구 성남대로331번길 13, 1층 111호 (정자동,백궁프라자)",
877,에이원,1,일반주점,"경기 성남시 분당구 정자일로 192, 2층 205호 (정자동,지.파크프라자)",
878,엄마손만두국,1,일반음식점,"경기 성남시 분당구 야탑로65번길 8, 101호 (야탑동,나인투빌딩)",
879,어쩌다술방구,1,일반주점,"경기 성남시 분당구 정자동 166-2번지C111호(정자동,정자역 엠코헤리츠3단지1층)",
880,어울더울(청계점),1,일반음식점,"경기 성남시 수정구 청계산로 462, 지층 .1층 (상적동)",
881,어니언키친,1,양식,"경기 성남시 분당구 장미로108번길 4, 1층 (야탑동)",
882,양국,1,한식,"경기 성남시 분당구 돌마로 47, 121(금곡동,이코노샤르망)",
883,야몽야몽,1,일반주점,"경기 성남시 분당구 정자일로146, A103호 (정자동,정자역 엠코해리츠1 ",
884,애나의정원분당 주식회사,1,일반음식점,"경기 성남시 분당구 석운로 140, 1층 (석운동)",
885,압구정김밥,1,일반음식점,"경기 성남시 분당구 황새울로360번길35, 221호 (서현동,서현현대프라자 ",
886,안집,1,일반음식점,경기 성남시 분당구 새마을로51번길3 (서현동) ,
887,아초원,1,한식,"경기 성남시 분당구 하오개로 337, 1층 (운중동)",
888,아지트,1,일반음식점,"경기 성남시 분당구 미금일로81, 103호 (구미동,대우조합상가) ",
889,아자브교자,1,일반음식점 기타,"경기 성남시 분당구 동판교로52번길 21-12, 201호 (백현동)",
890,아웃백스테이크서현점,1,패밀리레스토랑,경기 성남시 분당구 서현동251-1 ,
891,아오이,1,일식전문점,"경기 성남시 분당구 정자일로 135, D동 1층 125호 (정자동,정자동3차푸르지오시티)",
892,아썸아이디어,1,서양식,"경기 성남시 분당구 대왕판교로 660  (삼평동, 유스페이스1)",
893,아나바,1,일식/생선회집,"경기 성남시 분당구 대왕판교로606번길 58, 1층 104호 (삼평동,판교푸르지오월드마크)",
894,아구대감,1,일반음식점,"경기 성남시 분당구 금곡로23번길4, 1층전부 (구미동) ",
895,씨제이올리브영정자역점,1,일반잡화판매점,"경기 성남시 분당구 성남대로331번길 3-3,(정자동, 젤존3104,105호) ",
896,써브웨이미금역점,1,일반음식점 기타,"경기 성남시 분당구 돌마로 52, MD프라자 (구미동)",
897,써브웨이 판교브릿지타워점,1,패스트푸드점,"경기 성남시 분당구 판교로227번길 6, 지하1층 B106호 (삼평동,판교테크노밸리브릿지타워)",
898,써브웨이 성남태평점,1,일반음식점,"경기 성남시 수정구 수정로 179, 1층 일부호 (태평동)",
899,써브웨이 성남시청점,1,패스트푸드점,"경기 성남시 중원구 성남대로997번길 51-20, 1층 (여수동)",
900,싱싱수산,1,일식전문점,"경기 성남시 수정구 수정로135번길12, 1층 (태평동) ",
901,신통치킨,1,치킨전문점,"경기 성남시 중원구 여수울로15번길4-10,1층(여수동) ",
902,신주닭발,1,한식,"경기 성남시 분당구 성남대로 165, 1층 131호 (금곡동,천사의도시1 오피스텔)",
903,신나라,1,단란주점,"경기 성남시 분당구 야탑로105번길 15, 2층 (야탑동)",
904,신강양꼬치,1,중식전문점,"경기 성남시 분당구 야탑로111번길12-5, 1층 (야탑동) ",
905,시크릿,1,일반주점,"경기 성남시 분당구 대왕판교로 670, 지상,3층 320호 (삼평동,유스페이스2)",
906,시카에블랙,1,일식전문점,"경기 성남시 중원구 양현로405번길5, 2층 6호 (여수동,신야탑푸르지오 ",
907,스푼업(SPOONUP),1,일반주점,"경기 성남시 분당구 성남대로172번길 24, 1층 101-2호, 101-3호 (금곡동,분당미금파크)",
908,스시오마카세,1,일식전문점,"경기 성남시 분당구 정자일로 121, D-07호,분당더샵스타파크상가동1층 (정자동)",
909,스낵스토리,1,기타식음료품,"경기 성남시 분당구 성남대로925번길 11, 1층 107호 (야탑동,유니마트)",
910,술집(요리포차),1,일반음식점,"경기 성남시 분당구 미금일로74번길27, 1층 (구미동) ",
911,수라냉면,1,일반음식점,"경기 성남시 수정구 시민로 175, 1층 (신흥동)",
912,수내칡냉면,1,일반음식점,"경기 성남시 분당구 느티로 27, 101호 (정자동,하나프라자)",
913,쇼쿠닌,1,일반음식점,"경기 성남시 분당구 판교역로192번길14-2, 1층 113호 (삼평동,골드타워 ",
914,송추가마골판교지점,1,일반한식,"경기 성남시 분당구 판교역로145, 타워2동 2층 225,226,227,호 (백현동 ",
915,속초게찜6242,1,일식/생선회집,"경기 성남시 분당구 매화로55번길 7, 1층 (야탑동)",
916,소마(SOMA),1,서양식전문점,"경기 성남시 분당구 대왕판교로660, 3층 326호 (삼평동,유스페이스1) ",
917,소담시루,1,일반음식점,"경기 성남시 분당구 운중로277번길 40-9, 1층 101호 (판교동)",
918,세원골,1,일반음식점,"경기 성남시 수정구 수정로74번길 6, 1층 우측 (수진동)",
919,세누하누,1,일반음식점,"경기 성남시 분당구 판교역로 145, 타워2동  2층 201호,202호,203호(백현동, 알파리움)",
920,설빙에스에이치코리아,1,일반음식점,"경기 성남시 분당구 성남대로 151,엠코헤리츠,2층212호,213호(구미동)",
921,석운가든,1,일반음식점,"경기 성남시 분당구 석운로 213,1층(석운동)",
922,서현실비(주),1,일반음식점,"경기 성남시 분당구 황새울로311번길 14, 106호~108호 (서현동)",
923,서현궁 불고기,1,일식전문점,"경기 성남시 분당구 안양판교로1201번길 63, 1층 (백현동)",
924,서초우동,1,일반음식점,"경기 성남시 분당구 내정로17번길 11, 1층 일부 (정자동)",
925,서원숯불생고기전문점,1,한식,"경기 성남시 분당구 안골로 12-4, 1층 (서현동)",
926,서울맥주1977동판교점,1,일반주점,"경기 성남시 분당구 동판교로52번길 9, 1층 (백현동)",
927,서울감자탕정자2호점(주)서울감,1,일반음식점,"경기 성남시 분당구 내정로107번길 2, 1층 (정자동,양지프라자)",
928,서울감자탕정자1호점(주)서울감,1,일반음식점,경기 성남시 분당구 내정로31번길 7-13 (정자동),
929,서울감자탕,1,일반음식점,경기 성남시 분당구 미금일로86번길 10 (구미동),
930,서림식당,1,한식,경기 성남시 분당구 구미동 192 엘지트윈하우스118,
931,샵이공칠,1,양식,"경기 성남시 분당구 판교역로192번길 22, 207호, 208호 (삼평동)",
932,샤브효,1,일반음식점,"경기 성남시 분당구 안골로 12-4, A동 2층 (서현동,동양프라자)",
933,생활맥주 분당정자 SK,1,일반주점,"경기 성남시 분당구 성남대로331번길 13, 107호 (정자동)",
934,생포탄,1,일반음식점,"경기 성남시 분당구 미금일로74번길 13-1, 1층 (구미동)",
935,삼육구,1,한식,경기 성남시 분당구 야탑로111번길 7-1 1층 (야탑동),
936,삼김화로구이,1,한식,"경기 성남시 분당구 느티로 16-0,12층 208호 (정자동,젤존타워1) ",
937,삼김농원,1,일반음식점,"경기 성남시분당구 서현동 221 1층,2층사용",
938,살라타이(SalaThai),1,일반음식점,"경기 성남시 분당구 성남대로 381, 308호 (정자동,폴라리스빌딩)",
939,산애들애,1,"농산물,청과물","경기 성남시 분당구 중앙공원로40번길 42, 종합상가 49동 139호 (서현동,우성종합상가)",
